Corruption Perceptions Index 2023: Score timeseries since 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMBARGOED UNTIL 30.01.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country / Territory,ISO3,Region,CPI score 2023,Rank 2023,Sources 2023,Standard error 2023,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
"Korea, South",KOR,AP,63,32,10,1.25,63,31,10,1.03,62,32,10,1.13,61,33,10,1.11,59,39,10,2.44,57,45,10,2.74,54,51,10,2.24,53,9,2.33,54,9,2.29,55,9,2.64,55,10,2.4,56,10,2.4
Kosovo,KSV,ECA,41,83,6,2.36,41,84,6,2.58,39,87,6,2.31,36,104,6,0.68,36,101,5,0.81,37,93,5,1.49,39,85,5,2.13,36,5,3.17,33,3,2.19,33,3,2.33,33,3,2.3,34,3,1.5
Kuwait,KWT,MENA,46,63,8,1.66,42,77,6,1.74,43,73,6,2.00,42,78,6,1.88,40,85,6,1.88,41,78,6,3.47,39,85,6,2.47,41,5,2.67,49,5,4.51,44,5,5.24,43,5,3.9,44,5,3.9
Kyrgyzstan,KGZ,ECA,26,141,7,1.69,27,140,7,1.32,27,144,7,1.16,31,124,7,1.28,30,126,7,2.54,29,132,7,2.37,29,135,7,2.59,28,7,2.08,28,6,2.29,27,6,2.35,24,6,2.3,24,6,1.8
Laos,LAO,AP,28,136,4,2.44,31,126,5,3.70,30,128,5,3.21,29,134,5,3.95,29,130,5,5.00,29,132,5,5.7,29,135,5,5.89,30,4,6.19,25,4,5.31,25,4,3.8,26,4,5,21,3,1.3
Latvia,LVA,WE/EU,60,36,9,1.76,59,39,10,1.36,59,36,10,1.32,57,42,9,1.92,56,44,9,3.53,58,41,9,2.95,58,40,9,3.21,57,9,2.96,56,8,2.76,55,8,3.35,53,8,3.6,49,6,4
Lebanon,LBN,MENA,24,149,6,1.12,24,150,7,0.82,24,154,7,0.77,25,149,7,1.15,28,137,7,2.27,28,138,7,2.28,28,143,7,2.11,28,7,2.5,28,6,3.22,27,6,3.37,28,6,3.3,30,6,2.3
Lesotho,LSO,SSA,39,93,5,4.65,37,99,6,3.87,38,96,6,4.00,41,83,6,3.24,40,85,6,3.95,41,78,6,3.67,42,74,6,4.08,39,5,6.15,44,5,4.99,49,5,3.55,49,5,3.6,45,5,4.6
Liberia,LBR,SSA,25,145,7,1.64,26,142,7,1.72,29,136,8,1.70,28,137,7,2.01,28,137,7,2.67,32,120,8,3.31,31,122,8,3.24,37,7,3.43,37,7,4.22,37,6,3.09,38,7,3.3,41,7,3.9
Libya,LBY,MENA,18,170,5,1.83,17,171,5,1.59,17,172,5,1.72,17,173,5,1.72,18,168,5,2.24,17,170,5,2.57,17,171,5,3.05,14,4,2,16,5,3.18,18,5,2.81,15,6,3.3,21,6,4
Lithuania,LTU,WE/EU,61,34,10,1.25,62,33,10,1.14,61,34,10,1.18,60,35,9,1.34,60,35,9,2.32,59,38,9,2.3,59,38,9,2.21,59,9,1.36,59,8,1.92,58,8,3.85,57,8,3.8,54,7,5.3
Luxembourg,LUX,WE/EU,78,9,8,1.06,77,10,8,1.08,81,9,8,0.96,80,9,7,1.50,80,9,7,1.95,81,9,7,2.32,82,8,6,2.08,81,6,1.96,85,5,1.6,82,6,2.78,80,6,2.9,80,6,2.8
Madagascar,MDG,SSA,25,145,7,1.53,26,142,7,1.67,26,147,7,1.69,25,149,8,1.51,24,158,8,2.48,25,152,7,2.64,24,155,8,2.72,26,7,2.88,28,7,2.99,28,8,3.38,28,8,1.9,32,8,3.2
Malawi,MWI,SSA,34,115,9,1.42,34,110,9,1.71,35,110,9,1.69,30,129,9,1.16,31,123,9,1.78,32,120,9,2.61,31,122,9,1.85,31,9,2.11,31,8,2.41,33,8,3.03,37,8,1.7,37,8,1.5
